words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат[+:0 -:0 0:0 I:-1]
ігумен[+:0 -:0 0:0 I:-1]
абатиса[+:0 -:0 0:0 I:-1]
ігуменя[+:0 -:0 0:0 I:-1]
абатство[+:0 -:0 0:0 I:-1]
манастир[+:0 -:0 0:0 I:-1]
абетка[+:1 -:0 0:0 I:4]
азбука[+:3 -:0 0:0 I:3]
альфабет[+:1 -:0 0:0 I:5]
алфавит[+:1 -:0 0:0 I:5]
букви[+:1 -:1 0:0 I:5]
літери[+:1 -:1 0:0 I:5]
абеточка[+:1 -:0 0:0 I:5]
абетковий[+:3 -:0 0:0 I:3]
азбучний[+:4 -:0 0:0 I:3]
поазбучний[+:1 -:0 0:0 I:4]
альфабетний[+:2 -:0 0:0 I:4]
абетний[+:2 -:0 0:0 I:4]
елементарний[+:4 -:1 0:0 I:3]
початковий[+:2 -:0 0:0 I:3]
загальновідомий[+:1 -:0 0:0 I:2]
абеткувати[+:0 -:0 0:0 I:-1]
реєструвати_за_абеткою[+:0 -:0 0:0 I:-1]
абетник[+:0 -:0 0:0 I:-1]
альфабетний_покажчик[+:0 -:0 0:0 I:-1]
абзац[+:0 -:0 0:0 I:3]
відступ[+:0 -:2 0:1 I:4]
новий_рядок[+:0 -:0 0:0 I:4]
уступ[+:0 -:0 0:0 I:2]
аби[+:0 -:1 0:0 I:1]
аби_тільки[+:0 -:1 0:0 I:2]
аби_но[+:0 -:1 0:0 I:2]
тільки_б[+:0 -:1 0:0 I:2]
якби_тільки[+:0 -:1 0:0 I:2]
щоб_лише[+:0 -:1 0:0 I:2]
щоб[+:0 -:1 0:0 I:0]
щоби[+:0 -:1 0:0 I:2]
для_того[+:0 -:1 0:0 I:2]
з_тим[+:0 -:1 0:0 I:2]
абись[+:0 -:1 0:0 I:2]
абиде[+:2 -:0 0:0 I:2]
будь-де[+:1 -:0 0:0 I:3]
де-будь[+:1 -:0 0:0 I:3]
хоч_де[+:1 -:0 0:0 I:3]
хай_де[+:1 -:0 0:0 I:3]
де_припало[+:1 -:0 0:0 I:3]
денебудь[+:1 -:0 0:0 I:1]
десь[+:5 -:2 0:0 I:2]
абиколи[+:0 -:4 0:0 I:2]
будь-коли[+:0 -:2 0:0 I:1]
колибудь[+:0 -:2 0:0 I:2]
хоч_коли[+:0 -:1 0:0 I:1]
хай_коли[+:0 -:1 0:0 I:1]
колись[+:0 -:3 0:2 I:1]
колинебудь[+:0 -:0 0:0 I:1]
абикуди[+:4 -:0 0:0 I:3]
будь-куди[+:1 -:0 0:0 I:3]
кудибудь[+:1 -:0 0:0 I:3]
хоч_куди[+:1 -:0 0:0 I:4]
хай_куди[+:2 -:0 0:0 I:3]
куди-небудь[+:1 -:0 0:0 I:4]
кудись[+:2 -:0 0:0 I:2]
аби_то[+:0 -:1 0:0 I:2]
якнебудь[+:0 -:3 0:1 I:2]
недбало[+:0 -:2 0:0 I:3]
абияк[+:0 -:3 0:1 I:3]
так_собі[+:0 -:1 0:0 I:1]
абихто[+:0 -:1 0:2 I:3]
будь-хто[+:0 -:3 0:0 I:2]
хтобудь[+:0 -:0 0:1 I:4]
хоч_хто[+:0 -:0 0:2 I:3]
хай_хто[+:0 -:0 0:1 I:4]
хтонебудь[+:0 -:1 0:3 I:2]
хтось[+:0 -:0 0:3 I:2]
абичий[+:0 -:0 0:0 I:-1]
будь-чий[+:0 -:0 0:0 I:-1]
чийбудь[+:0 -:0 0:0 I:-1]
хай_чий[+:0 -:0 0:0 I:-1]
хоч_чий[+:0 -:0 0:0 I:-1]
чийнебудь[+:0 -:0 0:0 I:-1]
чийсь[+:0 -:0 0:0 I:-1]
абищиця[+:0 -:2 0:0 I:3]
дрібниця[+:0 -:5 0:0 I:2]
дрібничка[+:0 -:4 0:0 I:3]
дурниця[+:0 -:4 0:0 I:2]
дурничка[+:0 -:3 0:0 I:3]
витребенька[+:0 -:5 0:0 I:3]
абищо[+:1 -:4 0:0 I:3]
будь-що[+:1 -:1 0:0 I:4]
щобудь[+:0 -:1 0:0 I:4]
хоч_що[+:0 -:1 0:0 I:4]
хай_що[+:3 -:0 0:0 I:3]
щонебудь[+:0 -:1 0:1 I:3]
щось[+:1 -:2 0:3 I:3]
нісенітниця[+:1 -:1 0:0 I:2]
ніщо[+:0 -:2 0:0 I:2]
